ARTIFACT.CONSTRUCTION_Artifact,what artifact is constructed?
JUSTICE.ARREST-JAIL_Jailer,who is the jailer of the arrest?
JUSTICE.ARREST-JAIL_Person,Who is jailed?
JUSTICE.ARREST-JAIL_Place,Where the event takes place?
JUSTICE.CHARGE-INDICT_Agent,who is the indicted?
JUSTICE.CHARGE-INDICT_Arrested,who is arrested?
JUSTICE.CHARGE-INDICT_Crime,what crime is indicted for?
JUSTICE.CHARGE-INDICT_Defendant,Who is the defendant?
JUSTICE.CHARGE-INDICT_Judgecourt,who is the judge of the induction?
JUSTICE.CHARGE-INDICT_Numberofaffected,How many are affected?
JUSTICE.CHARGE-INDICT_Participant,who participated in the induction?
JUSTICE.CHARGE-INDICT_Place,Where the event takes place?
JUSTICE.CHARGE-INDICT_Prosecutor,Who is the prosecuting agent?
JUSTICE.CHARGE-INDICT_Target,what is the target?
JUSTICE.CHARGE-INDICT_Time,when is it?
JUSTICE.EXECUTE_Crime,what crime is executed for?
JUSTICE.EXECUTE_Defendant,Who is the defendant?
JUSTICE.EXECUTE_Executioner,Who is the executioner?
JUSTICE.EXECUTE_Place,Where the event takes place?
JUSTICE.EXTRADITE_Crime,what crime is extradited for?
JUSTICE.EXTRADITE_Defendant,Who is the defendant?
JUSTICE.EXTRADITE_Destination,Where the person is extradited to?
JUSTICE.EXTRADITE_Extraditer,Who is the extradited?
JUSTICE.EXTRADITE_Origin,What is original location of the person being extradited?
JUSTICE.INVESTIGATE_Crime,what crime is investigated for?
JUSTICE.INVESTIGATE_Defendant,Who is the defendant?
JUSTICE.INVESTIGATE_Investigator,Who is the investigator?
JUSTICE.INVESTIGATE_Place,Where the event takes place?
JUSTICE.RELEASE-PAROLE_Agent,who is the parole?
JUSTICE.RELEASE-PAROLE_Arrested,who parole got arrested?
JUSTICE.RELEASE-PAROLE_Crime,what crime is released for?
JUSTICE.RELEASE-PAROLE_Dead,who released died?
JUSTICE.RELEASE-PAROLE_Injured,who the release injured?
JUSTICE.RELEASE-PAROLE_Instrument,what is the parole instrument?
JUSTICE.RELEASE-PAROLE_Kidnapped,Who is kidnapped?
JUSTICE.RELEASE-PAROLE_Money,What is the money?
JUSTICE.RELEASE-PAROLE_Numberofaffected,How many are affected?
JUSTICE.RELEASE-PAROLE_Participant,who participated in the release?
JUSTICE.RELEASE-PAROLE_Perpetrator,Who is the perpetrator?
JUSTICE.RELEASE-PAROLE_Place,Where the event takes place?
JUSTICE.RELEASE-PAROLE_Target,who is the target of the release?
JUSTICE.RELEASE-PAROLE_Time,when is it?
JUSTICE.SENTENCE_Crime,what crime is sentenced for?
JUSTICE.SENTENCE_Defendant,Who is the defendant?
JUSTICE.SENTENCE_Judgecourt,who judge sentenced?
JUSTICE.SENTENCE_Place,Where the event takes place?
JUSTICE.TRIAL-HEARING_Crime,what crime is heard?
JUSTICE.TRIAL-HEARING_Defendant,Who is the defendant?
JUSTICE.TRIAL-HEARING_Judgecourt,who judge heard?
JUSTICE.TRIAL-HEARING_Place,Where the event takes place?
JUSTICE.TRIAL-HEARING_Prosecutor,Who is the prosecuting agent?
LIFE.DIE_Agent,Who is the killer?
LIFE.DIE_Instrument,What is the instrument used?
LIFE.DIE_Killer,Who is the killer?
LIFE.DIE_Place,Where the event takes place?
LIFE.DIE_Victim,Who died?
LIFE.INJURE_Injurer,Who is the attacking agent?
LIFE.INJURE_Instrument,What is the instrument used?
LIFE.INJURE_Place,Where the event takes place?
LIFE.INJURE_Victim,Who is victim?
MOVEMENT.TRANSPORT_Agent,Who is responsible for the transport event?
MOVEMENT.TRANSPORT_Artifact,What is being transported?
MOVEMENT.TRANSPORT_Destination,Where the transporting is directed?
MOVEMENT.TRANSPORT_Granter,who is the granter?
MOVEMENT.TRANSPORT_Hidingplace,Where is the hiding place?
MOVEMENT.TRANSPORT_Origin,Where the transporting originated?
MOVEMENT.TRANSPORT_Passenger,Who is the passenger?
MOVEMENT.TRANSPORT_Preventer,who prevented the transportation?
MOVEMENT.TRANSPORT_Transporter,when is it?
MOVEMENT.TRANSPORT_Vehicle,What is the vehicle used?
PERSONNEL.ELECT_Candidate,who is the elected candidate?
PERSONNEL.ELECT_Place,Where the event takes place?
PERSONNEL.ELECT_Voter,who voted?
PERSONNEL.END-POSITION_Employee,Who is the employee?
PERSONNEL.END-POSITION_Place,Where the event takes place?
PERSONNEL.END-POSITION_Placeofemployment,where is it?
PERSONNEL.START-POSITION_Employee,Who is the employee?
PERSONNEL.START-POSITION_Place,Where the event takes place?
PERSONNEL.START-POSITION_Placeofemployment,where is it?
TRANSACTION_Beneficiary,Who benefits from the transaction?
TRANSACTION_Giver,who is the seller?
TRANSACTION_Participant,who participated in the transaction?
TRANSACTION_Place,where is it?
TRANSACTION_Recipient,Who is the recipient?
TRANSACTION.TRANSFER-MONEY_Beneficiary,Who benefits from the transfer?
TRANSACTION.TRANSFER-MONEY_Giver,Who is the donating agent?
TRANSACTION.TRANSFER-MONEY_Money,What is the money?
TRANSACTION.TRANSFER-MONEY_Place,Where the event takes place?
TRANSACTION.TRANSFER-MONEY_Preventer,who prevented the transportation?
TRANSACTION.TRANSFER-MONEY_Recipient,Who is the recipient of money?
TRANSACTION.TRANSFER-OWNERSHIP_Artifact,What is bought?
TRANSACTION.TRANSFER-OWNERSHIP_Beneficiary,Who benefits from the transaction?
TRANSACTION.TRANSFER-OWNERSHIP_beneficiary,Who benefits from the transaction?
TRANSACTION.TRANSFER-OWNERSHIP_Giver,who is the seller?
TRANSACTION.TRANSFER-OWNERSHIP_Place,Where the event takes place?
TRANSACTION.TRANSFER-OWNERSHIP_Preventer,who prevented the transportation?
TRANSACTION.TRANSFER-OWNERSHIP_Recipient,Who is the recipient?
TRANSACTION.TRANSFER-OWNERSHIP_Territoryorfacility,where is the territory?
